gene_id	gene_symbol	description	scientific_name	common_name	tax_id	genomic_range	orientation	location	gene_type	transcript_accession	transcript_name	transcript_length	transcript_cds_coords	protein_accession	isoform_name	protein_length	protein_name
100144303	ACE2	angiotensin converting enzyme 2	Sus scrofa	pig	9823	NC_010461.5:12099849-12152204	-	chr X	PROTEIN_CODING	XM_021079375.1	transcript variant X2	2765	XM_021079375.1:322-2700	XP_020935034.1	isoform X2	792	angiotensin-converting enzyme 2
100171441	ACE2	angiotensin converting enzyme 2	Pongo abelii	Sumatran orangutan	9601	NC_036926.1:12118976-12161536	-	chr X	PROTEIN_CODING	XM_024240245.1	transcript variant X1	3909	XM_024240245.1:305-2722	XP_024096013.1	isoform X1	805	angiotensin-converting enzyme 2
100171441	ACE2	angiotensin converting enzyme 2	Pongo abelii	Sumatran orangutan	9601	NC_036926.1:12118976-12161536	-	chr X	PROTEIN_CODING	NM_001131132.2		3668	NM_001131132.2:50-2467	NP_001124604.1		805	angiotensin-converting enzyme 2 precursor
100232752	ACE2	angiotensin converting enzyme 2	Taeniopygia guttata	zebra finch	59729	NC_044211.2:96983220-97008362	-	chr 1	PROTEIN_CODING	XM_002194267.5		3194	XM_002194267.5:64-2499	XP_002194303.5		811	angiotensin-converting enzyme 2
100302675	Ace2	angiotensin converting enzyme 2	Cavia porcellus	domestic guinea pig	10141	NT_176306.1:1852036-1900208	+	chr Un	PROTEIN_CODING	XM_023562040.1		4436	XM_023562040.1:162-2603	XP_023417808.1		813	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
100327258	ACE2	angiotensin converting enzyme 2	Oryctolagus cuniculus	rabbit	9986	NC_013690.1:1396882-1444239	-	chr X	PROTEIN_CODING	XM_002719845.3		3502	XM_002719845.3:319-2736	XP_002719891.1		805	angiotensin-converting enzyme 2
100408882	ACE2	angiotensin converting enzyme 2	Callithrix jacchus	white-tufted-ear marmoset	9483	NC_048405.1:14211112-14256559	-	chr X	PROTEIN_CODING	XM_008988993.3		2870	XM_008988993.3:104-2521	XP_008987241.1		805	angiotensin-converting enzyme 2
100465802	ACE2	angiotensin converting enzyme 2	Ailuropoda melanoleuca	giant panda	9646	NC_048238.1:12445177-12485707	-	chr X	PROTEIN_CODING	XM_034649890.1		2422	XM_034649890.1:305-2422	XP_034505781.1		705	angiotensin-converting enzyme 2
100486137	ace2	angiotensin converting enzyme 2	Xenopus tropicalis	tropical clawed frog	8364	NC_030678.2:29756346-29796598	-	chr 2	PROTEIN_CODING	XM_002938247.4		3353	XM_002938247.4:65-2653	XP_002938293.2		862	angiotensin-converting enzyme 2
100541186	ACE2	angiotensin converting enzyme 2	Meleagris gallopavo	turkey	9103	NC_015011.2:114105771-114139865	+	chr 1	PROTEIN_CODING	XM_019612009.2		2733	XM_019612009.2:133-2718	XP_019467554.1		861	angiotensin-converting enzyme 2
100565298	ace2	angiotensin converting enzyme 2	Anolis carolinensis	green anole	28377	NC_014778.1:121501128-121544841	-	chr 3	PROTEIN_CODING	XM_008107249.1	transcript variant X2	4026	XM_008107249.1:133-2577	XP_008105456.1		814	angiotensin-converting enzyme 2
100565298	ace2	angiotensin converting enzyme 2	Anolis carolinensis	green anole	28377	NC_014778.1:121501128-121544841	-	chr 3	PROTEIN_CODING	XM_008107248.2	transcript variant X1	4140	XM_008107248.2:247-2691	XP_008105455.1		814	angiotensin-converting enzyme 2
100602708	ACE2	angiotensin converting enzyme 2	Nomascus leucogenys	northern white-cheeked gibbon	61853	NC_044406.1:14043417-14088551	-	chr X	PROTEIN_CODING	XM_003261084.3		3593	XM_003261084.3:304-2721	XP_003261132.2		805	angiotensin-converting enzyme 2
100663153	ACE2	angiotensin converting enzyme 2	Loxodonta africana	African savanna elephant	9785	NW_003573459.1:16088731-16134525	+	chr Un	PROTEIN_CODING	XM_023555192.1		2440	XM_023555192.1:38-2440	XP_023410960.1		800	angiotensin-converting enzyme 2
100699386	ace2	angiotensin I converting enzyme 2	Oreochromis niloticus	Nile tilapia	8128	NC_031965.2:14102394-14113333	+	chr LG1	PROTEIN_CODING	XM_005466811.4	transcript variant X2	3417	XM_005466811.4:118-2526	XP_005466868.1	isoform X2	802	angiotensin-converting enzyme 2
100699386	ace2	angiotensin I converting enzyme 2	Oreochromis niloticus	Nile tilapia	8128	NC_031965.2:14102394-14113333	+	chr LG1	PROTEIN_CODING	XM_003445805.5	transcript variant X1	3473	XM_003445805.5:117-2582	XP_003445853.2	isoform X1	821	angiotensin-converting enzyme 2
100772552	Ace2	angiotensin converting enzyme 2	Cricetulus griseus	Chinese hamster	10029	NW_003613952.1:107262-157525;NC_048604.1:99207432-99257812	+;+	chr X	PROTEIN_CODING	XM_003503235.5		3508	XM_003503235.5:1-2418	XP_003503283.1		805	angiotensin-converting enzyme 2
100772552	Ace2	angiotensin converting enzyme 2	Cricetulus griseus	Chinese hamster	10029	NW_003613952.1:107262-157525;NC_048604.1:99207432-99257812	+;+	chr X	PROTEIN_CODING	XM_027432806.2		3508	XM_027432806.2:1-2418	XP_027288607.1		805	angiotensin-converting enzyme 2
100917420	ACE2	angiotensin converting enzyme 2	Sarcophilus harrisii	Tasmanian devil	9305	NC_045428.1:196882941-196937323	+	chr 3	PROTEIN_CODING	XM_031958965.1		4202	XM_031958965.1:325-2745	XP_031814825.1		806	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
100951881	ACE2	angiotensin converting enzyme 2	Otolemur garnettii	small-eared galago	30611	NW_003852446.1:1165282-1244800	-	chr Un	PROTEIN_CODING	XM_003791864.2		2625	XM_003791864.2:208-2625	XP_003791912.1		805	angiotensin-converting enzyme 2
100970340	ACE2	angiotensin converting enzyme 2	Pan paniscus	pygmy chimpanzee	9597	NC_048262.1:8189267-8229415	-	chr X	PROTEIN_CODING	XM_008974189.2	transcript variant X2	3196	XM_008974189.2:106-2190	XP_008972437.2	isoform X2	694	angiotensin-converting enzyme 2
100970340	ACE2	angiotensin converting enzyme 2	Pan paniscus	pygmy chimpanzee	9597	NC_048262.1:8189267-8229415	-	chr X	PROTEIN_CODING	XM_008974180.2	transcript variant X1	3457	XM_008974180.2:169-2586	XP_008972428.2	isoform X1	805	angiotensin-converting enzyme 2
101008749	ACE2	angiotensin converting enzyme 2	Papio anubis	olive baboon	9555	NC_044996.1:129968844-130023606	+	chr X	PROTEIN_CODING	XM_021933040.1	transcript variant X1	3650	XM_021933040.1:360-2777	XP_021788732.1		805	angiotensin-converting enzyme 2
101008749	ACE2	angiotensin converting enzyme 2	Papio anubis	olive baboon	9555	NC_044996.1:129968844-130023606	+	chr X	PROTEIN_CODING	XM_021933041.2	transcript variant X2	3487	XM_021933041.2:197-2614	XP_021788733.1		805	angiotensin-converting enzyme 2
101045190	ACE2	angiotensin converting enzyme 2	Saimiri boliviensis	Bolivian squirrel monkey	27679	NW_024100929.1:67281356-67373923	+	chr Un	PROTEIN_CODING	XM_010336623.2	transcript variant X1	3455	XM_010336623.2:168-2585	XP_010334925.2	isoform X1	805	angiotensin-converting enzyme 2
101045190	ACE2	angiotensin converting enzyme 2	Saimiri boliviensis	Bolivian squirrel monkey	27679	NW_024100929.1:67281356-67373923	+	chr Un	PROTEIN_CODING	XM_039475356.1	transcript variant X2	3239	XM_039475356.1:137-2497	XP_039331290.1	isoform X2	786	angiotensin-converting enzyme 2
101066589	ace2	angiotensin I converting enzyme 2	Takifugu rubripes	torafugu	31033	NC_042297.1:15277573-15284307	-	chr 13	PROTEIN_CODING	XM_029846414.1		2888	XM_029846414.1:50-2470	XP_029702274.1		806	angiotensin-converting enzyme 2
101103622	ACE2	angiotensin converting enzyme 2	Ovis aries	sheep	9940	NC_056080.1:13722313-13771110	-	chr X	PROTEIN_CODING	XM_042242295.1	transcript variant X3	2826	XM_042242295.1:353-2605	XP_042098229.1	isoform X3	750	angiotensin-converting enzyme 2
101103622	ACE2	angiotensin converting enzyme 2	Ovis aries	sheep	9940	NC_056080.1:13722313-13771110	-	chr X	PROTEIN_CODING	XM_042242294.1	transcript variant X1	2687	XM_042242294.1:31-2466	XP_042098228.1	isoform X1	811	angiotensin-converting enzyme 2
101103622	ACE2	angiotensin converting enzyme 2	Ovis aries	sheep	9940	NC_056080.1:13722313-13771110	-	chr X	PROTEIN_CODING	XM_012106267.4	transcript variant X2	3294	XM_012106267.4:31-2445	XP_011961657.1	isoform X2	804	angiotensin-converting enzyme 2
101142534	ACE2	angiotensin converting enzyme 2	Gorilla gorilla	western gorilla	9593	NC_044625.1:13860869-13901080	-	chr X	PROTEIN_CODING	XM_019019204.1		3435	XM_019019204.1:146-2563	XP_018874749.1		805	angiotensin-converting enzyme 2
101283738	ACE2	angiotensin converting enzyme 2	Orcinus orca	killer whale	9733	NW_004438445.1:14934737-14998753	+	chr Un	PROTEIN_CODING	XM_033427926.1	transcript variant X2	3911	XM_033427926.1:653-3067	XP_033283817.1		804	angiotensin-converting enzyme 2
101283738	ACE2	angiotensin converting enzyme 2	Orcinus orca	killer whale	9733	NW_004438445.1:14934737-14998753	+	chr Un	PROTEIN_CODING	XM_033427928.1	transcript variant X3	3543	XM_033427928.1:285-2699	XP_033283819.1		804	angiotensin-converting enzyme 2
101283738	ACE2	angiotensin converting enzyme 2	Orcinus orca	killer whale	9733	NW_004438445.1:14934737-14998753	+	chr Un	PROTEIN_CODING	XM_004269657.2	transcript variant X1	4174	XM_004269657.2:916-3330	XP_004269705.1		804	angiotensin-converting enzyme 2
101326506	ACE2	angiotensin converting enzyme 2	Tursiops truncatus	common bottlenose dolphin	9739	NC_047055.1:116496774-116549606	+	chr X	PROTEIN_CODING	XM_019925618.2		4212	XM_019925618.2:917-3331	XP_019781177.2		804	angiotensin-converting enzyme 2
101343545	LOC101343545	angiotensin converting enzyme 2	Trichechus manatus latirostris	Florida manatee	127582	NW_004444098.1:583696-629001	+	chr Un	PROTEIN_CODING	XM_004386324.2		2502	XM_004386324.2:100-2502	XP_004386381.1		800	angiotensin-converting enzyme 2
101373514	ACE2	angiotensin converting enzyme 2	Odobenus rosmarus divergens	Pacific walrus	9708	NW_004451256.1:364773-403113	-	chr Un	PROTEIN_CODING	XM_004415391.1		2199	XM_004415391.1:1-2199	XP_004415448.1		732	angiotensin-converting enzyme 2
101395957	LOC101395957	angiotensin converting enzyme 2	Ceratotherium simum simum	southern white rhinoceros	73337	NW_004454207.1:5103224-5157124	-	chr Un	PROTEIN_CODING	XM_004435149.2		3685	XM_004435149.2:375-2792	XP_004435206.1		805	angiotensin-converting enzyme 2
101429092	ACE2	angiotensin converting enzyme 2	Dasypus novemcinctus	nine-banded armadillo	9361	NW_004462914.1:349141-411668	-	chr Un	PROTEIN_CODING	XM_004449067.3		3845	XM_004449067.3:561-2975	XP_004449124.1		804	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
101480744	ace2	angiotensin I converting enzyme 2	Maylandia zebra	zebra mbuna	106582	NC_036780.1:26222964-26234791	-	chr LG1	PROTEIN_CODING	XM_004543425.2		3465	XM_004543425.2:123-2534	XP_004543482.1		803	angiotensin-converting enzyme 2
101526767	ACE2	angiotensin converting enzyme 2	Ochotona princeps	American pika	9978	NW_023426577.1:310395-348026	-	chr X	PROTEIN_CODING	XM_004597492.3		2757	XM_004597492.3:1-2418	XP_004597549.3		805	angiotensin-converting enzyme 2
101538370	ACE2	angiotensin converting enzyme 2	Sorex araneus	European shrew	42254	NW_004545909.1:5753403-5798828	-	chr Un	PROTEIN_CODING	XM_004612209.1		2412	XM_004612209.1:1-2412	XP_004612266.1		803	angiotensin-converting enzyme 2
101586254	Ace2	angiotensin converting enzyme 2	Octodon degus	degu	10160	NW_004524645.1:8208860-8266298	-	chr Un	PROTEIN_CODING	XM_023719548.1	transcript variant X2	2909	XM_023719548.1:72-2567	XP_023575316.1		831	angiotensin-converting enzyme 2
101586254	Ace2	angiotensin converting enzyme 2	Octodon degus	degu	10160	NW_004524645.1:8208860-8266298	-	chr Un	PROTEIN_CODING	XM_023719547.1	transcript variant X1	3776	XM_023719547.1:72-2567	XP_023575315.1		831	angiotensin-converting enzyme 2
101597469	Ace2	angiotensin converting enzyme 2	Jaculus jaculus	lesser Egyptian jerboa	51337	NW_004504480.1:2690438-2746893	-	chr Un	PROTEIN_CODING	XM_004671466.2		2715	XM_004671466.2:184-2601	XP_004671523.1		805	angiotensin-converting enzyme 2
101621202	ACE2	angiotensin converting enzyme 2	Condylura cristata	star-nosed mole	143302	NW_004567128.1:4967987-5005390	-	chr Un	PROTEIN_CODING	XM_012730417.1		2438	XM_012730417.1:6-2408	XP_012585871.1		800	angiotensin-converting enzyme 2
101656395	ACE2	angiotensin converting enzyme 2	Echinops telfairi	small Madagascar hedgehog	9371	NW_022103951.1:12894281-12936175	+	chr Un	PROTEIN_CODING	XM_004709945.1		2397	XM_004709945.1:1-2397	XP_004710002.1		798	angiotensin-converting enzyme 2
101673097	ACE2	angiotensin converting enzyme 2	Mustela putorius furo	domestic ferret	9669	NW_004569209.1:5233758-5271987	-	chr Un	PROTEIN_CODING	XM_004758885.2	transcript variant X1	3669	XM_004758885.2:400-2817	XP_004758942.1		805	angiotensin-converting enzyme 2
101673097	ACE2	angiotensin converting enzyme 2	Mustela putorius furo	domestic ferret	9669	NW_004569209.1:5233758-5271987	-	chr Un	PROTEIN_CODING	XM_004758886.2	transcript variant X2	3469	XM_004758886.2:200-2617	XP_004758943.1		805	angiotensin-converting enzyme 2
101673097	ACE2	angiotensin converting enzyme 2	Mustela putorius furo	domestic ferret	9669	NW_004569209.1:5233758-5271987	-	chr Un	PROTEIN_CODING	NM_001310190.1		2418	NM_001310190.1:1-2418	NP_001297119.1		805	angiotensin-converting enzyme 2 precursor
101697829	Ace2	angiotensin converting enzyme 2	Heterocephalus glaber	naked mole-rat	10181	NW_004624829.1:344823-391451	-	chr Un	PROTEIN_CODING	XM_004866100.3		7004	XM_004866100.3:309-2726	XP_004866157.1		805	angiotensin-converting enzyme 2
101792697	ACE2	angiotensin converting enzyme 2	Anas platyrhynchos	mallard	8839	NC_051772.1:128108180-128132263	+	chr 1	PROTEIN_CODING	XM_013094461.4		3442	XM_013094461.4:139-2556	XP_012949915.3		805	angiotensin-converting enzyme 2
101814772	ACE2	angiotensin converting enzyme 2	Ficedula albicollis	Collared flycatcher	59894	NC_021671.1:18518148-18544735	+	chr 1	PROTEIN_CODING	XM_005037365.1		2848	XM_005037365.1:15-2447	XP_005037422.1		810	angiotensin-converting enzyme 2
101823817	Ace2	angiotensin converting enzyme 2	Mesocricetus auratus	golden hamster	10036	NW_024429188.1:16792549-16839612	-	chr Un	PROTEIN_CODING	XM_005074209.3		3433	XM_005074209.3:263-2680	XP_005074266.1		805	angiotensin-converting enzyme 2
101868889	LOC101868889	angiotensin converting enzyme 2	Melopsittacus undulatus	budgerigar	13146	NC_047528.1:76229184-76255834	-	chr 2	PROTEIN_CODING	XM_005151459.2		2430	XM_005151459.2:1-2430	XP_005151516.2		809	angiotensin-converting enzyme 2
101911905	ACE2	angiotensin converting enzyme 2	Falco peregrinus	peregrine falcon	8954	NW_004929840.1:5803837-5830370	+	chr Un	PROTEIN_CODING	XM_005231927.2		3347	XM_005231927.2:132-2606	XP_005231984.2		824	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
101950848	ACE2	angiotensin converting enzyme 2	Chrysemys picta	Painted turtle	8479	NW_024885809.1:5514268-5553048	-	chr Un	PROTEIN_CODING	XM_005287788.3	transcript variant X2	3389	XM_005287788.3:172-2598	XP_005287845.1	isoform X2	808	angiotensin-converting enzyme 2
101950848	ACE2	angiotensin converting enzyme 2	Chrysemys picta	Painted turtle	8479	NW_024885809.1:5514268-5553048	-	chr Un	PROTEIN_CODING	XM_024108749.2	transcript variant X1	3449	XM_024108749.2:172-2658	XP_023964517.1	isoform X1	828	angiotensin-converting enzyme 2
101962991	Ace2	angiotensin converting enzyme 2	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NC_053502.1:4964502-5012706	-	chr X	PROTEIN_CODING	XM_040290338.1	transcript variant X1	3509	XM_040290338.1:211-2664	XP_040146272.1	isoform X1	817	angiotensin-converting enzyme 2
101962991	Ace2	angiotensin converting enzyme 2	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NC_053502.1:4964502-5012706	-	chr X	PROTEIN_CODING	XM_005315994.4	transcript variant X2	3556	XM_005315994.4:258-2711	XP_005316051.3	isoform X1	817	angiotensin-converting enzyme 2
101962991	Ace2	angiotensin converting enzyme 2	Ictidomys tridecemlineatus	thirteen-lined ground squirrel	43179	NC_053502.1:4964502-5012706	-	chr X	PROTEIN_CODING	XM_040290398.1	transcript variant X3	2679	XM_040290398.1:211-2562	XP_040146332.1	isoform X2	783	angiotensin-converting enzyme 2
101993255	Ace2	angiotensin converting enzyme 2	Microtus ochrogaster	prairie vole	79684	NC_022026.1:45348982-45399224	-	chr X	PROTEIN_CODING	XM_005358761.3		3213	XM_005358761.3:1-2415	XP_005358818.1		804	angiotensin-converting enzyme 2
102015756	Ace2	angiotensin converting enzyme 2	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955519.1:2591229-2643705	+	chr Un	PROTEIN_CODING	XM_013506975.1	transcript variant X2	3370	XM_013506975.1:299-2716	XP_013362429.1	isoform X1	805	angiotensin-converting enzyme 2
102015756	Ace2	angiotensin converting enzyme 2	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955519.1:2591229-2643705	+	chr Un	PROTEIN_CODING	XM_013506974.1	transcript variant X1	5246	XM_013506974.1:299-2716	XP_013362428.1	isoform X1	805	angiotensin-converting enzyme 2
102015756	Ace2	angiotensin converting enzyme 2	Chinchilla lanigera	long-tailed chinchilla	34839	NW_004955519.1:2591229-2643705	+	chr Un	PROTEIN_CODING	NM_001282361.1		2415	NM_001282361.1:1-2415	NP_001269290.1		804	angiotensin-converting enzyme 2 precursor
102037445	ACE2	angiotensin converting enzyme 2	Geospiza fortis	medium ground-finch	48883	NW_005054403.1:2126419-2151148	+	chr Un	PROTEIN_CODING	XM_005426164.1		2707	XM_005426164.1:1-2430	XP_005426221.1		809	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
102045810	ACE2	angiotensin converting enzyme 2	Falco cherrug	Saker falcon	345164	NW_004994831.1:830378-857005	-	chr Un	PROTEIN_CODING	XM_027810898.1	transcript variant X3	2895	XM_027810898.1:129-2570	XP_027666699.1		813	angiotensin-converting enzyme 2
102045810	ACE2	angiotensin converting enzyme 2	Falco cherrug	Saker falcon	345164	NW_004994831.1:830378-857005	-	chr Un	PROTEIN_CODING	XM_027810897.1	transcript variant X2	2906	XM_027810897.1:129-2570	XP_027666698.1		813	angiotensin-converting enzyme 2
102045810	ACE2	angiotensin converting enzyme 2	Falco cherrug	Saker falcon	345164	NW_004994831.1:830378-857005	-	chr Un	PROTEIN_CODING	XM_005443036.2	transcript variant X1	3310	XM_005443036.2:129-2570	XP_005443093.2		813	angiotensin-converting enzyme 2
102067801	ACE2	angiotensin converting enzyme 2	Zonotrichia albicollis	white-throated sparrow	44394	NW_005081670.1:178573-203941	+	chr Un	PROTEIN_CODING	XM_005491775.2		2964	XM_005491775.2:4-2439	XP_005491832.2		811	angiotensin-converting enzyme 2
102095592	ACE2	angiotensin converting enzyme 2	Columba livia	rock pigeon	8932	NW_004973647.1:226938-258102	+	chr Un	PROTEIN_CODING	XM_021298811.1		3467	XM_021298811.1:314-2713	XP_021154486.1		799	LOW QUALITY PROTEIN: angiotensin-converting enzyme 2
102108306	ACE2	angiotensin converting enzyme 2	Pseudopodoces humilis	Tibetan ground-tit	181119	NW_005087554.1:68105003-68129547	-	chr Un	PROTEIN_CODING	XM_005516655.1		2430	XM_005516655.1:1-2430	XP_005516712.1		809	angiotensin-converting enzyme 2
102130864	ACE2	angiotensin converting enzyme 2	Macaca fascicularis	crab-eating macaque	9541	NC_022292.1:13368153-13427137	-	chr X	PROTEIN_CODING	XM_005593037.2		3589	XM_005593037.2:301-2718	XP_005593094.1		805	angiotensin-converting enzyme 2
102184608	ACE2	angiotensin converting enzyme 2	Capra hircus	goat	9925	NW_017189516.1:54689768-54736792	+	chr X	PROTEIN_CODING	XM_005701072.3	transcript variant X1	3591	XM_005701072.3:330-2744	XP_005701129.2	isoform X1	804	angiotensin-converting enzyme 2
102184608	ACE2	angiotensin converting enzyme 2	Capra hircus	goat	9925	NW_017189516.1:54689768-54736792	+	chr X	PROTEIN_CODING	XM_018043614.1	transcript variant X2	3461	XM_018043614.1:383-2614	XP_017899103.1	isoform X2	743	angiotensin-converting enzyme 2
102184608	ACE2	angiotensin converting enzyme 2	Capra hircus	goat	9925	NW_017189516.1:54689768-54736792	+	chr X	PROTEIN_CODING	NM_001290107.1		2415	NM_001290107.1:1-2415	NP_001277036.1		804	angiotensin-converting enzyme 2 precursor
102205204	ace2	angiotensin I converting enzyme 2	Pundamilia nyererei		303518	NW_005187412.1:61032-72302	+	chr Un	PROTEIN_CODING	XM_005724112.1		2966	XM_005724112.1:181-2592	XP_005724169.1		803	angiotensin-converting enzyme 2
102218691	ace2	angiotensin I converting enzyme 2	Xiphophorus maculatus	southern platyfish	8083	NC_036446.1:23712041-23721225	-	chr 4	PROTEIN_CODING	XM_005799778.2		3277	XM_005799778.2:43-2469	XP_005799835.1		808	angiotensin-converting enzyme 2
102259026	ACE2	angiotensin converting enzyme 2	Myotis brandtii	Brandt's bat	109478	NW_005363802.1:67595-108839	+	chr Un	PROTEIN_CODING	XM_014544295.1	transcript variant X2	3211	XM_014544295.1:417-2876	XP_014399781.1	isoform X1	819	angiotensin-converting enzyme 2
102259026	ACE2	angiotensin converting enzyme 2	Myotis brandtii	Brandt's bat	109478	NW_005363802.1:67595-108839	+	chr Un	PROTEIN_CODING	XM_014544294.1	transcript variant X1	3381	XM_014544294.1:417-2876	XP_014399780.1	isoform X1	819	angiotensin-converting enzyme 2
102259026	ACE2	angiotensin converting enzyme 2	Myotis brandtii	Brandt's bat	109478	NW_005363802.1:67595-108839	+	chr Un	PROTEIN_CODING	XM_014544297.1	transcript variant X4	3186	XM_014544297.1:417-2681	XP_014399783.1	isoform X3	754	angiotensin-converting enzyme 2
102259026	ACE2	angiotensin converting enzyme 2	Myotis brandtii	Brandt's bat	109478	NW_005363802.1:67595-108839	+	chr Un	PROTEIN_CODING	XM_014544296.1	transcript variant X3	3321	XM_014544296.1:417-2816	XP_014399782.1	isoform X2	799	angiotensin-converting enzyme 2
102274886	ACE2	angiotensin converting enzyme 2	Bos mutus	wild yak	72004	NW_005394647.1:274951-323779	+	chr Un	PROTEIN_CODING	XM_005903111.1		3339	XM_005903111.1:69-2483	XP_005903173.1		804	angiotensin-converting enzyme 2
102308763	ace2	angiotensin I converting enzyme 2	Haplochromis burtoni	Burton's mouthbrooder	8153	NW_024582623.1:686306-698077	+	chr Un	PROTEIN_CODING	XM_005943300.3		3469	XM_005943300.3:143-2554	XP_005943362.1		803	angiotensin-converting enzyme 2
102362771	ACE2	angiotensin I converting enzyme 2	Latimeria chalumnae	coelacanth	7897	NW_005819425.1:995337-1067578	+	chr Un	PROTEIN_CODING	XM_005997853.2		2635	XM_005997853.2:1-2580	XP_005997915.2		859	angiotensin-converting enzyme 2
102388701	ACE2	angiotensin converting enzyme 2	Alligator sinensis	Chinese alligator	38654	NW_005842376.1:615163-652486	+	chr Un	PROTEIN_CODING	XM_025210843.1	transcript variant X1	2617	XM_025210843.1:1-2412	XP_025066628.1	isoform X1	803	angiotensin-converting enzyme 2
